sym,ret_10,avg_rng_10,ann_vol_10,eff_10,trend_eff_10,n2_10,n3_10,corr_spy_10,ret_21,avg_rng_21,ann_vol_21,eff_21,trend_eff_21,n2_21,n3_21,corr_spy_21,ret_63,avg_rng_63,ann_vol_63,eff_63,trend_eff_63,n2_63,n3_63,corr_spy_63,mfe10,p5,mfe10r,p5r,last
XLC,-4.783231816553213,1.3326140101761215,22.668489270983862,0.4667240545768148,0.5705664766332936,1,1,0.6635752055342927,-0.22526750516238536,1.4045353266522067,21.17219517230234,0.0021945747538012063,0.45560266121579995,2,1,0.5098951217408971,-9.447142005281538,1.3209246292906125,16.87110407451027,0.18958083064486975,0.4473916214821092,4.0,1.0,0.46237431793964134,3.3159746213327432,13.333333333333334,4.318139368642079,36.36363636363637,106.3
XLE,8.24255235139606,1.610449550984752,15.396555110226496,0.8349349434841823,0.39966914486729643,1,1,-0.37582233813045285,11.293634496919914,1.6270988675939617,17.999022183616383,0.5333177961023818,0.38189549585688065,2,1,-0.5141653976159708,4.633204633204624,1.8323934196369949,23.9116712523221,0.06846247999223341,0.4259984653159831,9.0,3.0,-0.3730110587931938,6.214076597131523,70.0,6.382240232450103,63.63636363636363,59.62
XLF,1.0770059235325924,1.1115924551090641,8.738691067377339,0.23631373268830572,0.33076748715785126,0,0,0.4556013093475218,4.82129560685034,1.24080015365797,13.780694729750548,0.3448917034956034,0.38544127352947344,1,0,0.25296446962842367,8.706563706563708,1.2072498521352168,13.01233045785957,0.2120441962303552,0.4162330898809472,2.0,0.0,0.19158535338198132,1.9266136519862092,6.666666666666667,3.441963146459584,9.090909090909092,56.31
XLI,0.40677220756377697,1.5412009697153444,11.45848886304084,0.08898000281935786,0.4664478929800853,0,0,-0.15862752636222466,1.3595193740902456,1.5389871331009666,16.16922937077927,0.08751866786706905,0.4625064847116603,1,0,0.3865842951296362,4.9347921264804695,1.4949099671753572,19.05381572702958,0.09014512446965652,0.4406246437415991,6.0,2.0,0.6199971526994776,2.7266012532712347,3.3333333333333335,2.6807322350582474,9.090909090909092,182.66
XLK,-5.3288836257939565,2.215703690286696,25.704387150176572,0.38630065113788997,0.41048836106761294,3,0,0.677859624752176,-3.91696415323195,2.4405248069286145,30.1179615706037,0.10485452554131884,0.4228348852177322,9,0,0.7432544130118851,12.859342915811078,2.3150337511093446,33.27476001133631,0.12379261975983419,0.4501782184909176,25.0,6.0,0.8342203421768148,6.187514806315917,70.0,4.355437329143764,40.909090909090914,175.88
XLP,0.011887779362806938,1.505715696846862,20.451492919545576,0.008841128803201584,0.4430026698207234,1,0,-0.08113602424201902,-0.367124585504508,1.405498180572143,18.879167585543122,0.011068401730877557,0.4804677177308529,2,0,-0.319049427240331,0.778629611883086,1.3483370795790168,16.6402737459603,0.02090977569510752,0.4471457077427358,3.0,0.0,-0.27012780192122154,2.474182738372915,0.0,2.069713128705471,0.0,84.13
XLRE,3.374578177727794,1.2374128654024963,15.756451664072573,0.5099422095950936,0.42939906549733686,2,0,-0.06321479950798735,3.235228038643023,1.2546964481211471,17.044599792228247,0.19468029216854138,0.45222682522021895,2,0,-0.3691094364108455,4.526842584167423,1.2807994624580232,16.050478247559923,0.09805787637494572,0.4634122858682749,5.0,0.0,-0.07904561843571714,2.6229918304530035,0.0,2.5766745486353075,0.0,45.95
XLU,1.937899141158339,1.5003229667373295,14.558685350830913,0.297945891173529,0.5094154349329698,1,0,-0.19680975107723525,1.6469038208168696,1.4208809481526739,16.129308842238082,0.10149235775180768,0.5486690703194046,2,0,-0.3542391792998747,0.4339336081579326,1.4296059020962764,16.90319183267984,0.015010006636804636,0.5176215689473099,5.0,0.0,-0.06723946255485268,3.0918892375069436,5.0,2.518584391477938,0.0,46.29
XLV,1.0756093011688561,1.4697507041843976,18.99281363186567,0.12353113359637723,0.5196701931104251,1,0,-0.30821025547907827,6.012389565543552,1.5492633031531275,21.743492964242623,0.2594913739726961,0.49112096117177384,3,1,-0.37533873759692965,11.166574728762658,1.387225633864019,18.14834594929015,0.19087484359492873,0.47883411871122733,5.0,2.0,-0.12666264084708073,3.0202951230270316,15.0,3.6914911183920163,36.36363636363637,162.57001
XLY,-6.67860798362333,1.30146284397006,25.28823214182011,0.6212414110742698,0.43382199900554735,1,1,0.7645919997381962,-4.918745111671152,1.5464426094989296,23.073809426259466,0.21835402496330805,0.49856517357687913,2,1,0.7135143085675706,-7.074910820451841,1.5312636124379815,20.600717917972307,0.10921276322739179,0.4130577285307637,8.0,1.0,0.7369342923414602,2.92299172176933,10.0,2.763931922419961,9.090909090909092,109.41
